37,TN,1
80,CO,1
CA,#109,1
CA,Carlsbad,20
CA,Encinatas,1
CA,Encinitas,25
CA,Glendale,8
CA,Glendale ,1
CA,Hollywood,1
CA,La Jolla,24
CA,La Mesa,5
CA,Los Angeles,128
CA,Los Angeles ,3
CA,Point Loma,1
CA,Prospect St,1
CA,San DiegO,1
CA,San Diego,314
CA,San Francisco,414
CA,Santa Monica,18
CO,Boulder,50
CO,Centennial,1
CO,Cherry Creek,1
CO,Denver,328
CO,Denver ,5
CO,Edgewater,4
CO,Englewood,3
CO,Glendale,5
CO,Golden,1
CO,Wheat Ridge,2
Ca,San Diego,2
Ca,San Francisco,1
Co,Denver,1
DC,Washington,48
DC,Washington ,1
DC,Washington D.C.,1
DE,8314 NORTHFIELD BLVD,1
De,184 Steele Street,1
Di,801 9th St NW Ste. A,1
IL,Chicago,615
IL,Chicago ,1
IL,Evanston,7
IL,Evanston ,1
IL,Suite 107 Chicago,1
Il,Chicago,2
LA,New Orleans,71
MA,Boston,128
MA,Cambridge,38
MA,Somerville,2
MN,Minneapolis,104
MN,Minneapolis ,2
Mi,Minneapolis,1
NE,2 TIMES SQUARE,1
NJ,Camden,1
NJ,Jersey City,3
NV,Las Vegas,62
NY,Bronx,4
NY,Brooklyn,1
NY,Manhattan,4
NY,New York,495
NY,New York City,2
NY,Riverdale,1
NY,Rye,1
NY,The Bronx,1
Ne,1 Pennsylvania Plaza,1
Ne,161 8th Avenue,1
Ne,592 9th Ave,1
OR,Portland,273
Or,Portland,1
PA,Philadelphia,236
Ph,2101 South Street,1
Sa,118 Losoya Street,1
Sa,1401 Ocean Avenue,1
Se,1225 1st Avenue,1
TN,Nashville,87
TN,Nashville ,2
TX,#300 Austin,1
TX,Austin,275
TX,Austin ,2
TX,Houston,51
TX,Houston ,1
TX,San Antonio,48
Te,Austin ,2
Te,San Antonio,1
US,NY 10019,1
Un,Ellis Island,1
Un,IL 60622,1
Un,NY 10019,1
Un,San Diego‎ CA‎ 92126,1
Un,TX 78704,1
WA,Seattle,105
Wa,Seattle,1
